atopid,cowid,cow4id,member,cowsys,yrent,moent,dayent,yrexit,moexit,dayexit,ineffect,bilat,phase,maxphase,wartime,cowwar,estmode,pubsecr,secrart,proadd,futmem,speclgth,length,renounce,proren,renewlgt,term,termmode,termcaus,defense,offense,neutral,nonagg,consul,active,conditio,defcon,offcon,neucon,concon,defcoadv,defcoloc,defcocon,defconum,defcodem,defconpr,offcoadv,offcoloc,offcocon,offconum,offcodem,neucoadv,neucoloc,neucocon,neuconum,neucodem,neuconpr,neucoatt,concoadv,concoloc,concocon,concoreq,olimob,asymm,obvary,notaiden,dipaid,terrres,seppeace,thirdcom,noothall,specthrt,statthr1,statthr2,conwtin,medarb,milcon,milaid,intcom,subord,organ1,orgpurp1,organ2,orgpurp2,base,contrib,armred,acqterr,divgains,demwith,reflnun,refothio,natrefal,compag,nomicoop,conres,agprois,conmen,ecaid,interv,source,new5,rev5,version
1020,2005,3,255,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,267,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,269,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,271,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,273,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,275,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,280,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,300,0,1815,6,8,1820,5,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.1
1020,2005,3,240,0,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,245,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,255,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,267,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,269,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,271,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,273,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,275,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,280,0,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,300,1,1820,5,15,1848,3,31,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,4,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,240,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,245,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,255,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,267,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,269,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,271,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,273,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,275,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
1020,2005,3,280,1,1850,11,29,1866,6,15,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0,2,3,6,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5.1
