"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"129","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Magat Salamat","1"
"130","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCC",NA,"Kagitingan","4"
"131","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"BN-2A Defender","5"
"132","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"Islander","1"
"133","philippines","1991","navy","naval aviation","helicopters",NA,"SAR",NA,"Bo-105","12"
"134","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-5","30"
"135","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-7","55"
"136","philippines","1991","navy","marines","artillery",NA,"TOWED","105mm","M101","150"
"137","philippines","1991","air force",NA,"aircraft",NA,"FTR",NA,"F-5A/B","9"
"138","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"T-28D","8"
"139","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell UH-1H/M","55"
"140","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"AUH-76","16"
"141","philippines","1991","air force",NA,"aircraft",NA,"MR",NA,"F-27M","2"
"142","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"RT-33A","3"
"143","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-16","4"
"144","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"Bo-105C","10"
"145","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-27","1"
"146","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"147","philippines","1991","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"148","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"S-70A","2"
"149","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"SA-330","2"
"150","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-130H","3"
"151","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"L-100-20","3"
"152","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-47","3"
"153","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"F-27-200","7"
"154","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"BN-2 Islander","10"
"155","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"N-22B Nomal Missionmaster","9"
"156","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell 205","15"
"157","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"UH-1H","17"
"158","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 180","6"
"159","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 210","2"
"160","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 310","1"
"161","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"DHC-2","5"
"162","philippines","1991","air force",NA,"aircraft",NA,"TPT",NA,"U-17A/B","15"
"163","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-33A","5"
"164","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"RT-33","3"
"165","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-41D Mescalero","20"
"166","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"SF- 260MP","14"
"167","philippines","1991","air force",NA,"aircraft",NA,"TRG",NA,"SF-260WP","9"
"168","seychelles","1989","paramilitary","coast guard","patrol and coastal combatants",NA,"PFI",NA,NA,"2"
"169","seychelles","1989","people's defence force","coast guard","patrol and coastal combatants","inshore","PCI",NA,NA,"1"
"170","Somalia","1990","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"171","Somalia","1990","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
