"","iiss_platform_abbrev","iiss_platform_name","original"
"178","CG","cruiser with AShM, guided missile, or SAM",1
"179","CGH","CG with helicopters",1
"180","CGHM",NA,NA
"181","CGHMN",NA,NA
"182","CGN","guided missile cruiser, nuclear powered",1
"183","CISR","combat ISR",1
"184","civil",NA,NA
"185","civilian air control equipment",NA,NA
"186","CL","cruiser, light",1
"187","CLOSE SPT",NA,NA
"188","CM","cruiser with SAM",1
"189","CMD",NA,NA
"190","CMD/SPT",NA,NA
"191","Coastal Escort",NA,NA
"192","COIN","counter insurgency",1
"193","COIN/RECCE",NA,NA
"194","COIN/TRG",NA,NA
"195","COMD",NA,NA
"196","COMD/AEW",NA,NA
"197","COMMAND",NA,NA
"198","COMMS",NA,NA
"199","COMMS/ASW",NA,NA
"200","COMMS/LIAISON",NA,NA
"201","COMMS/SAR",NA,NA
"202","COMMS/SAR/TRG",NA,NA
"203","COMMS/TRG",NA,NA
"204","CONTROL",NA,NA
"205","conventional",NA,NA
"206","corvette",NA,NA
"207","corvettes",NA,NA
"208","CPV","crew protected vehicle",1
"209","CRAFT",NA,NA
"210","CS","combat support",1
"211","CSAR","combat search and rescue",1
"212","CV","aircraft carrier",1
"213","CVH","aircraft carrier helicopter",1
"214","CVN","aircraft carrier nuclear powered",1
"215","CVS","aircraft carrier with VSTOL or small aircraft carrier",1
"216","CVV","V/STOL and hel CV",1
"217","DD","destroyer",1
"218","DDG","destroyer with area SAM, guided missile",1
"219","DDGH","guided missile destroyer with helicopter",1
"220","DDGHM",NA,NA
"221","DDGM",NA,NA
"222","DDH","destroyer with hangar",1
"223","DDHM",NA,NA
"224","DDM","destroyer with SAM",1
"225","DE",NA,NA
"226","DEG","Destroyer, escort, guided missile",1
"227","DES",NA,NA
"228","destroyer escorts",NA,NA
"229","destroyers",NA,NA
"230","Destroyers",NA,NA
"231","detection and tracking radars",NA,NA
"232","Dew line",NA,NA
"233","Dew Line",NA,NA
"234","DHOW",NA,NA
"235","dinghies",NA,NA
"236","DMS",NA,NA
"237","dual-role",NA,NA
"238","early warning",NA,NA
"239","ECM","electronic counter measures",1
"240","ECM/RECCE",NA,NA
"241","ECM/TRG",NA,NA
"242","ECR","electronic combat and reconnaissance",1
"243","electro-optical guided",NA,NA
"244","ELINT","electronic intelligence",1
"245","ELINT/ECM",NA,NA
"246","ELINT/ESM",NA,NA
"247","ELINT/SIGINT",NA,NA
"248","ELINT/TPT",NA,NA
"249","environmental monitoring",NA,NA
"250","EORSAT",NA,NA
"251","EW","early warning or electronic warfare",1
"252","EW/ECM",NA,NA
"253","EW/FGA",NA,NA
"254","EW/TPT",NA,NA
"255","ex-GDR depot ship",NA,NA
"256","ex-SSBN",NA,NA
"257","FAA",NA,NA
"258","FAC","fast attack craft or forward air control",1
"259","FAC(G)","fast attack craft (gun)",1
"260","FAC(G)/FAC(T)/FAC(ASW)",NA,NA
"261","FAC(M)","fast attack craft (missile)",1
"262","FAC(P)","fast attack craft (patrol)",1
"263","FAC(T)","fast attack craft (torpedo)",1
"264","fast",NA,NA
"265","fast personnel carrier",NA,NA
"266","FB","fighter-bomber",1
"267","FF","frigate or fire-fighting",1
"268","FF/TRG",NA,NA
"269","FFG","frigate with area SAM, guided missile",1
"270","FFGH",NA,NA
"271","FFGHM",NA,NA
"272","FFGM",NA,NA
"273","FFH","frigate with helicopter",1
"274","FFHM",NA,NA
"275","FFL","light frigate",1
"276","FFM","fire-fighting or frigate with SAM",1
"277","FGA/COIN",NA,NA
"278","FGA/FTR",NA,NA
"279","FGA/FTR/RECCE",NA,NA
"280","FGA/ISR",NA,NA
"281","FGA/OCU",NA,NA
"282","FGA/RECCE",NA,NA
"283","FGR",NA,NA
"284","fire control",NA,NA
"285","flagship",NA,NA
"286","fleet",NA,NA
"287","fleet replenishing ships",NA,NA
"288","FLG",NA,NA
"289","FPB","Fast patrol boat(s)",1
"290","FPBG","Fast patrol boat(s), guided-missile",1
"291","FS","corvette",1
"292","FSG","corvette guided missile",1
"293","FSGH",NA,NA
"294","FSGHM",NA,NA
"295","FSGM",NA,NA
"296","FSH","corvette with hangar",1
"297","FSM","corvette with SAM",1
"298","FSP",NA,NA
"299","FTR",NA,NA
"300","FTR/BBR",NA,NA
"301","FTR/FGA",NA,NA
"302","FTR/FGA/RECCE",NA,NA
"303","FTR/ISR",NA,NA
"304","FTR/OCU",NA,NA
"305","FTR/RECCE",NA,NA
"306","FTR/TRG",NA,NA
"307","GLCM","ground-launched cruise missile",1
"308","GM","Guided missile",1
"309","GP","general purpose",1
"310","ground",NA,NA
"311","ground based electro optical deep space surveillance system (GEODSS)",NA,NA
"312","ground-based interceptors",NA,NA
"313","Gunboat",NA,NA
"314","GUNSHIP",NA,NA
"315","harbour patrol",NA,NA
"316","heavy",NA,NA
"317","height finder",NA,NA
"318","hovercraft",NA,NA
"319","how","howitzer",1
"320","HSV","high speed vessel",1
"321","HY TK",NA,NA
"322","ICBM","inter-continental ballistic-missile",1
"323","ICE PATROL",NA,NA
"324","imagery",NA,NA
"325","infrared/TV",NA,NA
"326","INS/GPS guided",NA,NA
"327","INS/GPS/GLONASS-guided",NA,NA
"328","INTERCEPTOR",NA,NA
"329","IRBM","intermediate-range ballistic-missile",1
"330","IRBM/MRBM",NA,NA
"331","ISR","intelligence, surveillance and reconnaissance",1
"332","ISR/TKR",NA,NA
"333","ISTAR","intelligence, surveillance, target acquisition and reconnaissance",1
"334","LACM","land-attack cruise missile",1
"335","LACV","light armored combat vehicle",1
"336","LAK",NA,NA
"337","Landing craft",NA,NA
"338","large",NA,NA
"339","laser-guided",NA,NA
"340","laser-guided/GPS",NA,NA
"341","LASH","cargo ship barge",1
"342","LAV","light armoured vehicle",1
"343","LC","landing craft",1
"344","LCA","landing craft assault or light combat aircraft",1
"345","LCA/LCVP",NA,NA
"346","LCAC","landing craft, air cushion",1
"347","LCC","amphibious command ship",1
"348","LCG","landing craft, gun",1
"349","LCH","landing craft, heavy",1
"350","LCL","landing craft large",1
"351","LCM","landing craft medium or mechanised",1
"352","LCM/LCU",NA,NA
"353","LCM/LCU/LCP",NA,NA
"354","LCM/LCVP",NA,NA
"355","LCP","landing craft personnel",1
"356","LCPL","landing craft personnel small",1
"357","LCS","littoral combat ship",1
"358","LCT","landing craft tank",1
"359","LCT/ML",NA,NA
"360","LCU","landing craft, utility",1
"361","LCU/LCVP",NA,NA
"362","LCUVP",NA,NA
"363","LCVP","landing craft, vehicles and personnel",1
"364","LFAV","light forces armoured vehicles",1
"365","LFV","light forces vehicles",1
"366","LGB","laser-guided bomb",1
"367","LGB/INS/GPS-guided",NA,NA
"368","LHA","landing ship, assault",1
"369","LHD","amphibious assault ship",1
"370","LIAISON/COMMS",NA,NA
"371","LIAISON/FAC",NA,NA
"372","LIAISON/OBSERVATION",NA,NA
"373","LIAISON/OCU",NA,NA
"374","LIAISON/RECCE",NA,NA
"375","LIAISON/SAR",NA,NA
"376","LIAISON/TPT",NA,NA
"377","LIAISON/VIP",NA,NA
"378","LKA","amphibious assault cargo ship",1
"379","LMSR T-AKR",NA,NA
"380","LOG",NA,NA
"381","log/fuel SPT",NA,NA
"382","LPA",NA,NA
"383","LPD","landing pIatform(s), dock",1
"384","LPH","landing platform, helicopter",1
"385","LPV","lifespan patrol vessel",1
"386","LRSA","long-range strike and attack",1
"387","LS","landing ship",1
"388","LSD","landing ship, dock",1
"389","LSH",NA,NA
"390","LSI",NA,NA
"391","LSIL",NA,NA
"392","LSL","landing ship logistic",1
"393","LSLH","landing ship logistic helicopter",1
"394","LSM","landing ship, medium",1
"395","LST","landing ship, tank",1
"396","LSTH",NA,NA
"397","LSU",NA,NA
"398","LT TK",NA,NA
"399","LT VEH",NA,NA
"400","Maintainance",NA,NA
"401","MAR/SPT",NA,NA
"402","MBRL",NA,NA
"403","MBT","main battle tank",1
"404","MBT/LT TK",NA,NA
"405","MCC","mine countermeasure coastal",1
"406","MCCS","mine countermeasure command and support",1
"407","MCD","mine countermeasure diving support",1
"408","MCDV","maritime coastal defence vessel",1
"409","MCI","mine countermeasure inshore",1
"410","MCM","mine counter-measures",1
"411","MCM/PF",NA,NA
"412","MCM/SPT",NA,NA
"413","MCMV","mine counter-measure vessel(s)",1
"414","MCO","mine countermeasure ocean",1
"415","MCS",NA,NA
"416","MED",NA,NA
"417","MED TK",NA,NA
"418","medium",NA,NA
"419","meteorology/oceanography",NA,NA
"420","MGB","Motor gunboat",1
"421","MGC",NA,NA
"422","MGM",NA,NA
"423","MHC","mine hunter coastal",1
"424","MHD","mine hunter drone",1
"425","MHI","mine hunter inshore",1
"426","MHO","mine hunter ocean",1
"427","MHSO",NA,NA
"428","MICA",NA,NA
"429","MICV","mechanised infantry combat vehicle",1
"430","minehunters",NA,NA
"431","misc","miscellaneous",1
"432","MISC",NA,NA
"433","MISC BOATS/CRAFT",NA,NA
"434","missile control",NA,NA
"435","MIUW","mobile inshore undersea warfare",1
"436","ML","minelayer",1
"437","ML/TRG",NA,NA
"438","MLC",NA,NA
"439","MLI",NA,NA
"440","MLR",NA,NA
"441","MP","maritime patrol",1
"442","MP/ASW",NA,NA
