"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"1031","kazakhstan","2014","army",NA,"armoured fighting vehicles",NA,"APC","APC (W)","Cobra","17"
"1032","kazakhstan","2014","army",NA,"artillery",NA,"SP","122mm","2S1","120"
"1033","kazakhstan","2014","army",NA,"artillery",NA,"SP","122mm","Semser","6"
"1034","kazakhstan","2014","army",NA,"artillery",NA,"SP","152mm","2S3","120"
"1035","kazakhstan","2014","army",NA,"artillery",NA,"TOWED","122mm","D-30","100"
"1036","kazakhstan","2014","army",NA,"artillery",NA,"TOWED","152mm","2A65","50"
"1037","kazakhstan","2014","army",NA,"artillery","GUNS/MOR",NA,"120mm","2S9 Anona","25"
"1038","kazakhstan","2014","army",NA,"artillery","MRL",NA,"122mm","BM-21 Grad","100"
"1039","kazakhstan","2014","army",NA,"artillery","MRL",NA,"300mm","Lynx","18"
"1040","kazakhstan","2014","army",NA,"artillery","MOR","SP","120mm","CARDOM","18"
"1041","kazakhstan","2014","army",NA,"artillery","MOR","SP","120mm","2B11/M120","45"
"1042","kazakhstan","2014","army",NA,"surface-to-surface missile launchers","missiles","SAM","SP","BMP-T","3"
"1043","kazakhstan","2014","army",NA,"artillery","GUNS",NA,"100mm","MT-12/T-12","68"
"1044","kazakhstan","2014","army",NA,"surface-to-surface missile launchers","missiles","SSM",NA,"9K79 Tochka (SS-21 Scarab)","12"
"1045","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PCG",NA,"Kazakhstan","1"
"1046","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PBF",NA,"Sea Dolphin","3"
"1047","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PBF",NA,"Saygak","2"
"1048","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PB",NA,"Almaty","4"
"1049","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PB",NA,"Dauntless","1"
"1050","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PB",NA,"Turk (AB25)","1"
"1051","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PB",NA,"Zhuk","2"
"1052","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PB",NA,"Sardar","4"
"1053","kazakhstan","2014","navy",NA,"patrol and coastal combatants",NA,"PB",NA,"Archangel","3"
